Service Name,UDID,Diff Check Results,Field Path,Original Placeholder,Context Snippet,Generated Value
Receiving a letter of demand ,B1000,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Read the letter in full and note any deadlines.,Review Letter for Deadlines
Receiving a letter of demand ,B1000,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Identify the IP right mentioned (registration number, jurisdiction).",Identify IP Right Details
Receiving a letter of demand ,B1000,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Gather your own evidence about your product, brand or content and its development timeline.",Collect Evidence and Timeline
Receiving a letter of demand ,B1000,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,Decide whether to seek advice from an IP lawyer or IP attorney.,Choose IP Legal Counsel
Receiving a letter of demand ,B1000,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,"Keep copies of all correspondence, screenshots, invoices and other relevant documents.",Document Everything
Choose not to respond immediately ,B1001,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"This will depend on what you decide to do.

To evaluate the situation before deciding, it is recomme",Evaluate the Situation
Choose not to respond immediately ,B1001,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,the allegations of infringement that have been made against you,Address Allegations
Choose not to respond immediately ,B1001,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,whether the allegations of infringement have merit,Evaluate infringement merit
Choose not to respond immediately ,B1001,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,what relevant IP rights you might have,Identify Relevant IP Rights
Choose not to respond immediately ,B1001,Pass,root.mainEntity[1].step[4].name,xXx_PLACEHOLDER_xXx,what demands the other party has made and when they might expect a reply,Identify Demands and Response Timeline
Choose not to respond immediately ,B1001,Pass,root.mainEntity[1].step[5].name,xXx_PLACEHOLDER_xXx,whether to seek advice from an IP lawyer or IP attorney.,Consult IP Legal Expert
Pause use of contested IP until resolution,B1003,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,Look for all the ways the IP might be used in your business and for what would be involved in ceasin,Identify IP Usage and Cessation Requirements
Pause use of contested IP until resolution,B1003,Pass,root.mainEntity[1].step[1].name,xXx_PLACEHOLDER_xXx,"Decide what changes to make (remove, redesign or rebrand).",Determine Changes
Pause use of contested IP until resolution,B1003,Pass,root.mainEntity[1].step[2].name,xXx_PLACEHOLDER_xXx,"Write to the alleged IP owner to explain what you've done, what you will do and when but note that a",Contact IP Owner Without Admitting Fault
Pause use of contested IP until resolution,B1003,Pass,root.mainEntity[1].step[3].name,xXx_PLACEHOLDER_xXx,"Keep clear records showing when you made changes (screenshots, shipping logs, letters).",Document Changes
Obtain legal advice on an accusation of infringment,B1004,Pass,root.mainEntity[1].step[0].name,xXx_PLACEHOLDER_xXx,"Do your homework before you meet
Your time is important and an expert's time can be expensive, so it",Prepare Before Meeting
